2004-01-02,100000.0
2004-01-05,100749.2425354805
2004-01-06,100953.09837159899
2004-01-07,100954.70311206108
2004-01-08,101207.64855117587
2004-01-09,101200.75997311255
2004-01-12,101369.15126285513
2004-01-13,101307.6137119218
2004-01-14,101656.40877206248
2004-01-15,101609.14909750545
2004-01-16,101707.14846958588
2004-01-20,102110.87668857332
2004-01-21,102573.15345207267
2004-01-22,102582.43363122092
2004-01-23,102153.18535870001
2004-01-26,102434.31676300411
2004-01-27,102199.32991877256
2004-01-28,101333.04481931216
2004-01-29,101291.73057900646
2004-01-30,101370.42946404609
2004-02-02,101464.7488478845
2004-02-03,101465.56822275888
2004-02-04,100940.58764013232
2004-02-05,100998.71558024155
2004-02-06,101983.39312841269
2004-02-09,102175.88506047442
2004-02-10,102372.40202492246
2004-02-11,103066.14289429781
2004-02-12,102773.89453957402
2004-02-13,102798.9873389549
2004-02-17,103397.33352639004
2004-02-18,102977.32269083112
2004-02-19,102818.15365978712
2004-02-20,102402.59218094447
2004-02-23,102325.92471529581
2004-02-24,102264.83436456215
2004-02-25,102543.9218304255
2004-02-26,102684.69680828112
2004-02-27,103119.56027683835
2004-03-01,103925.55456487133
2004-03-02,103452.24526173393
2004-03-03,103397.10382944372
2004-03-04,103660.85033682582
2004-03-05,104263.83114237973
2004-03-08,103928.56781573629
2004-03-09,103733.196357751
2004-03-10,102645.01000737344
2004-03-11,101857.98891800395
2004-03-12,102493.38496105514
2004-03-15,101721.33749948283
2004-03-16,102248.6169399677
2004-03-17,103088.62844825673
2004-03-18,103036.42908311206
2004-03-19,102334.75223241947
2004-03-22,101706.79309293473
2004-03-23,101898.5490712924
2004-03-24,101768.3987493967
2004-03-25,102492.36332536952
2004-03-26,102345.31572408718
2004-03-29,102872.43290223292
2004-03-30,103222.25724583273
2004-03-31,103515.36504124373
2004-04-01,103748.31091058403
2004-04-02,103637.63637928863
2004-04-05,103680.82901786143
2004-04-06,103649.94378446197
2004-04-07,103385.05848509869
2004-04-08,103292.61655749031
2004-04-12,103480.13747353246
2004-04-13,102523.62200363351
2004-04-14,102062.79452890852
2004-04-15,101887.08690499708
2004-04-16,102441.52426754439
2004-04-19,102451.5596756564
2004-04-20,101443.96534326836
2004-04-21,101718.49050750196
2004-04-22,102366.97210767014
2004-04-23,102022.25734231278
2004-04-26,101959.7906043792
2004-04-27,102156.53361399111
2004-04-28,100981.98031115824
2004-04-29,100213.42894810953
2004-04-30,99882.10567399506
2004-05-03,100294.42100739705
2004-05-04,100597.50509798335
2004-05-05,100867.6204502685
2004-05-06,100058.95763590616
2004-05-07,98707.4778813311
2004-05-10,97664.56767894041
2004-05-11,98348.49165995508
2004-05-12,98652.6390614336
2004-05-13,98455.75796031678
2004-05-14,98437.68260559291
2004-05-17,97998.11771519814
2004-05-18,98536.58469144015
2004-05-19,98694.87661524046
2004-05-20,98915.3620808346
2004-05-21,99050.16300574708
2004-05-24,99505.26480192426
2004-05-25,100343.09509913948
2004-05-26,100494.63748269944
2004-05-27,101049.48883728115
2004-05-28,100969.02477605783
2004-06-01,100804.25273356415
2004-06-02,100814.81512686596
2004-06-03,100180.63400887034
2004-06-04,100547.19370114114
2004-06-07,101556.86810858124
2004-06-08,101319.43335518811
2004-06-09,100535.81356419623
2004-06-10,100854.75539109998
2004-06-14,99764.81444757298
2004-06-15,100687.56064796526
2004-06-16,100616.98010497424
2004-06-17,100824.5209466455
2004-06-18,100893.22658072761
2004-06-21,100845.33025078537
2004-06-22,101003.97487709236
2004-06-23,101495.10477774279
2004-06-24,101578.3035576154
2004-06-25,101561.17088137756
2004-06-28,101216.55581869856
2004-06-29,101460.15952818513
2004-06-30,102090.83539140734
2004-07-01,101557.59892173958
2004-07-02,101889.40274177918
2004-07-06,101263.20467201727
2004-07-07,101476.02131227584
2004-07-08,101008.62753880653
2004-07-09,101227.72679498343
2004-07-12,101268.48442963202
2004-07-13,101182.11938788526
2004-07-14,100974.53992027446
2004-07-15,100744.39605153879
2004-07-16,100993.1777592683
2004-07-19,100971.3059740591
2004-07-20,101064.14010588887
2004-07-21,100181.98738646304
2004-07-22,100296.88346953873
2004-07-23,99763.86369820312
2004-07-26,99516.07384121329
2004-07-27,99763.61862662155
2004-07-28,99928.8878913889
2004-07-29,100264.05807859654
2004-07-30,100499.42336839996
2004-08-02,100656.78458578218
2004-08-03,100438.68915357659
2004-08-04,100353.18495399284
2004-08-05,99699.44646227409
2004-08-06,99567.08199751178
2004-08-09,99594.54446973003
2004-08-10,99969.66724052108
2004-08-11,99936.3114525555
2004-08-12,99560.5784549433
2004-08-13,99806.75347889094
2004-08-16,100259.18829436853
2004-08-17,100526.2614637524
2004-08-18,100946.96864907721
2004-08-19,100974.98579910785
2004-08-20,101298.26048237033
2004-08-23,100995.3891235831
2004-08-24,100931.6587811422
2004-08-25,101371.35670084966
2004-08-26,101468.51587942003
2004-08-27,101613.68646050437
2004-08-30,101378.82432172951
2004-08-31,101898.34234781314
2004-09-01,101922.34506724551
2004-09-02,102362.9036579025
2004-09-03,101945.14247010445
2004-09-07,102367.30839988327
2004-09-08,102317.87402958452
2004-09-09,102330.51671816246
2004-09-10,102648.18459314023
2004-09-13,102855.1515261782
2004-09-14,102941.2834821254
2004-09-15,102435.16887733035
2004-09-16,102890.7346104721
2004-09-17,102949.48934205345
2004-09-20,102872.73418404564
2004-09-21,103305.39982955337
2004-09-22,102761.82490937797
2004-09-23,102490.87891015226
2004-09-24,102568.19511028039
2004-09-27,102419.8708192661
2004-09-28,102879.33145528278
