"","shy","tip","vti","ive","iwn","iws","efa","eem"
"2004-01-02",0,0,0,0,0,0,0,0
"2004-01-05",0.000148367952522044,-0.00138408304498261,0.0113358524116469,0.0124410124410126,0.00950118764845609,0.00928433268858786,0.0190062449090416,0.0349693251533743
"2004-01-06",0.00118676754190772,0.00637560637560619,0.00329670329670328,0.00127118644067781,-0.00320855614973259,0.00229973169796849,0.00159872102318159,-0.0112625963248371
"2004-01-07",0.00074085049636996,0.000826332461093537,0.00284775465498366,0.000846381718154765,0.00815450643776816,-0.00114722753346075,-0.00984304336259656,0.00239808153477217
"2004-01-08",0.000148060408646566,-0.00385303426448325,0.00371341197029285,0.00507399577167034,0.00659855257556408,0.00267993874425732,0.0142396560988716,0.00358851674641159
"2004-01-09",0.00251665433012582,0.00759773449371459,-0.00631120783460293,-0.00504838031131682,-0.00570945231550002,-0.000381825124093238,-0.00635761589403983,-0.00178784266984511
"2004-01-12",0.000590667454223315,-0.000822593912805036,0.00459921156373189,0.00507399577167034,0.0106337728626116,0.00420168067226889,-0.000266595574513362,-0.000597014925373229
"2004-01-13",0.00118063754427378,0.00493962678375404,-0.00239808153477217,-0.00504838031131682,-0.00147306397306401,-0.00266260935717,-0.00586666666666669,-0.00597371565113491
"2004-01-14",-0.00103183962264164,0.000136537411250748,0.00721153846153855,0.00718816067653294,0.010958904109589,0.00724637681159424,0.00858369098712441,0.00180288461538458
"2004-01-15",0,0.00136518771331051,0.00412236927750054,0.00272879932829562,-0.00229309985407544,0.00530102234002272,-0.00585106382978717,-0.0203959208158371
"2004-01-16",-0.000737789582411108,0.000408997955010149,0.00302506482281761,0.00418672807201159,0.00501462599247815,0.00527306967984931,-0.00374531835205993,0.00428658909981627
"2004-01-20",0.000443000590667486,-0.000817661488143995,0.00258509263248596,0.00354388159266206,0.0101871101871103,0.00337204945672531,0.0107411385606875,0.028658536585366
"2004-01-21",0.000590405904059121,0.00409165302782344,0.00429737859905455,0.00747818861653515,-0.000205803663305359,0.00746825989544431,0.012221041445271,0.00177830468286877
"2004-01-22",0.000737571913261403,0.00162999185004065,-0.000641848523748378,-0.000412371134020706,-0.00535199670646358,-0.00259451445515202,0.000787401574803281,-0.0029585798816566
"2004-01-23",-0.00147405660377375,-0.00705180363439106,-0.0019267822736031,-0.00453795379537947,0.00579470198675502,-0.0011148272017838,-0.0107526881720431,-0.00178041543026708
"2004-01-26",-0.000738116327133165,-0.00368751707183823,0.0105105105105106,0.00870285951098215,0.00946502057613174,0.00744047619047628,0.00318133616118788,0.0071343638525565
"2004-01-27",0.00118185847244789,0.00397532556545577,-0.00849076629165779,-0.00883319638455216,-0.00937627395026497,-0.00369276218611514,-0.00449260042283306,-0.00531286894923255
"2004-01-28",-0.0025084845801977,-0.00409612233752044,-0.0126311282380648,-0.0147150259067358,-0.0152263374485597,-0.0122312824314308,-0.0127422352004248,-0.0142433234421366
"2004-01-29",0.000295857988165782,-0.00054839594186995,0.00173460537727688,0.00336558687421129,-0.006059339740911,-0.00337711069418389,0.0013444474321056,-0.0156532209512341
"2004-01-30",0.000443655723158853,0.00534979423868309,-0.00129870129870135,-0.000838574423480232,-0.00294303132226192,0.00338855421686746,-0.00268528464017193,-0.00122324159021425
"2004-02-02",0.000295639320029517,0.00177377541274382,0.00173385348938004,0.0029374737725556,0.00210837022981236,0.00112570356472808,-0.0024232633279484,0
"2004-02-03",0.00103443180138907,0.00177063470444017,-0.000216356555603592,-0.00418410041841,-0.00273511466442256,0.000374812593703311,0.00188933873144403,-0.00551132884262096
"2004-02-04",-0.000590493061706443,0,-0.00930534516338455,-0.00630252100840345,-0.020464135021097,-0.0123641813413264,-0.0107758620689655,-0.00923645320197031
"2004-02-05",-0.000738552437222983,-0.00299116247450715,0.00393184796854529,0.00105708245243141,0.00689209562782689,0.00303490136570561,0.00408496732026142,0
"2004-02-06",0.00162601626016268,0.00409109504977501,0.0130548302872062,0.0133051742344243,0.0252406417112299,0.0143721633888048,0.0189856251695146,0.0229956494717216
"2004-02-09",0.0002951593860685,0.0020372130924895,-0.00128865979381443,-0.000833680700291772,0.0012518255789693,0.00186428038777042,0.00612190577588501,0.0139732685297691
"2004-02-10",-0.00132782531720277,-0.0027107617240445,0.00623655913978483,0.00730079265748862,0.0139612419254009,0.00334946036471906,0.00449735449735456,-0.000599161174355989
"2004-02-11",0.00162505539961599,0.00407719488991565,0.00833511434067113,0.0124249326982813,0.00452116728318952,0.00964391691394662,0.0113247300500394,0.0155875299760193
"2004-02-12",0.000294985250737456,-0.00284244721169458,-0.00275540483255621,-0.00388627531192465,-0.00572831423895259,0.000734753857457804,-0.00885416666666661,-0.000590318772137
"2004-02-13",0.00147449130050137,0.00773720646124598,-0.00510095642933039,-0.00451745379876811,-0.0111111111111111,-0.00624082232011736,-0.00131371518654766,0.000590667454223315
"2004-02-17",-0.000883392226148416,-0.00484913793103448,0.010467848750267,0.0107260726072609,0.0170620058260509,0.0118212042851866,0.0194685609050251,0.0200708382526564
"2004-02-18",0.000147362216327718,0.000135354629128281,-0.00443974630021127,-0.00489795918367353,-0.00654664484451717,-0.00620664476086175,-0.0139354838709678,-0.0133101851851852
"2004-02-19",0.000442021511713575,0.000406008932196444,-0.00552134211085165,-0.00451189499589821,-0.0152388797364086,-0.00661278471711979,0.00654278984559009,-0.00879765395894438
"2004-02-20",-0.00103092783505165,-0.00270562770562777,-0.00298953662182366,-0.00350226617222915,-0.00209117524048519,-0.0025887573964497,-0.0122204888195527,-0.0112426035502957
"2004-02-23",0.00103199174406621,0.00311991318502458,-0.00663953737417,-0.00248087657639029,-0.00880134115674769,-0.00519095291064142,0.00289549881547768,-0.00897666068222636
"2004-02-24",0,0.00216362407031778,0.000431220353600548,-0.00414507772020734,0.00380549682875264,-0.00149086843086099,-0.00393700787401574,-0.00543478260869568
"2004-02-25",0.000736377025036816,0.00256375657805963,0.00538793103448265,0.00770031217481804,0.00947767481044659,0.00746547219111604,-0.00737812911725955,0.0109289617486339
"2004-02-26",-0.000294334069168456,0.00174966352624506,0.00150053590568056,0.000413052457661989,0.00605049029835181,0.00518710633567987,0.000530926466684178,0.00540540540540535
"2004-02-27",0.000736051818047923,0.00577724036006977,0.00128424657534243,0.00268373245251863,0.00559933637494825,0.00552893475856986,0.0079596710002654,0.0137395459976106
"2004-03-01",-0.000294204177699431,0.00587763825808163,0.00983326207781099,0.0115297508750258,0.0131985976489999,0.0095307917888563,0.013424585417215,0.0229817324690631
"2004-03-02",-0.00103001765744548,-0.00332005312084993,-0.00359864521591879,-0.00325666598819463,-0.00488499898229189,0,-0.0158441558441559,-0.00806451612903225
"2004-03-03",-0.000736485491235728,-0.000666222518321047,0.000424899086467034,0.00204206657137029,0.000818163223563095,0.000726216412490821,-0.00211137503299019,-0.00580720092915199
"2004-03-04",0.000884433962264231,0.000266666666666637,0.00445954555107231,0.00305685755043816,0.0110361741263028,0.00399129172714097,0.00317376355461518,0.00642523364485981
"2004-03-05",0.00220913107511023,0.00946414289522801,0.00317124735729402,0.00507923608289307,-0.000202142712755204,0.00614383809179619,0.0116003163722647,0.004062681369704
"2004-03-08",0.00146950771491561,0.00343324970289172,-0.00906217070600635,-0.00970285021224981,-0.00950262838657501,-0.00969827586206895,-0.00651550690643732,-0.00982658959537586
