,shy,tip,vti,ive,iwn,iws,efa,eem
2004-01-02,0.25,0.25,0.125,0.125,0.04,0.035,0.125,0.05
2004-01-05,0.24817763954907732,0.2477973758967315,0.12547685557728738,0.12561397323712692,0.04007975294873085,0.03506225035057738,0.12642852433235188,0.051363628108116684
2004-01-06,0.2479704258028015,0.24887366390249108,0.12563630327068578,0.12551967573057726,0.03987048095148925,0.03507191965995816,0.1263749414429396,0.05068258923905748
2004-01-07,0.24815019024497365,0.24907535701245664,0.12599208188049357,0.1256239163840404,0.040194966109881214,0.03503112733673923,0.12512903837555903,0.05080332265585632
2004-01-08,0.24756664482256396,0.24749555261041947,0.1261438845962522,0.12594577019769274,0.04035907367652175,0.03503722166269402,0.1265936481628518,0.050858204271003966
2004-01-09,0.24820657837640187,0.24939293274047594,0.12535629655053016,0.12531847770406743,0.04013137696424569,0.03502622758965047,0.12579737662182597,0.05077073345280259
2004-01-12,0.2479406293152989,0.24877384061540866,0.12572364095718835,0.12574511168217736,0.04049075101250296,0.0351149676577143,0.12555492460861895,0.050656134151090514
2004-01-13,0.24838414237382514,0.2501545503351533,0.12549833091983767,0.1251862986170874,0.04045566471899798,0.0350427434002531,0.12489415444837791,0.05038411518646735
2004-01-14,0.24727649402259194,0.24933027899969787,0.12596966218426867,0.12565354145186194,0.04075868515431184,0.03517556928759865,0.12553400244654747,0.05030176645312148
2004-01-15,0.2473915053846289,0.24978678655220973,0.12654778723049115,0.12605502725008566,0.04068413531780625,0.03537848308731603,0.12485754077726743,0.04929873440019496
2004-01-16,0.2469707856329213,0.24964816969379927,0.1268082991954513,0.12646081721399663,0.04084875348376038,0.0355307677956957,0.1242700543147387,0.04946235266963679
2004-01-20,0.24610328275899623,0.24845778468741625,0.1266334368597349,0.12640720387620397,0.041101730234113246,0.03550962326126744,0.12510823695777396,0.050678701364493914
2004-01-21,0.24513879029231594,0.24835005638009686,0.12660446445064308,0.12677854844495606,0.04090807216189838,0.03561358837886258,0.12606646132606866,0.050540018565158454
2004-01-22,0.2452974047996854,0.24873236119532263,0.12651175756729832,0.1267148042660283,0.04068545132854992,0.0355179749641741,0.12615431260090063,0.050385933278040515
2004-01-23,0.24596504427557728,0.2480161538717066,0.12679857580498782,0.12666981841328762,0.04109316255987617,0.03562745891033089,0.12532221575086946,0.05050757041336422
2004-01-26,0.2451089396502583,0.246423418738403,0.1277796367057054,0.12742153669591447,0.041368262366756545,0.03579403693475681,0.12537586629817976,0.05072830261002576
2004-01-27,0.24596286860258282,0.2479718856647626,0.12698599868053187,0.12658638953236265,0.04107460836867136,0.03574385535274454,0.12509958415380174,0.05057480964454249
2004-01-28,0.24744330954400023,0.24906736366466597,0.12645389941976104,0.12578991650161067,0.04079498823687002,0.03560849494983809,0.12456137112521817,0.05028065655803573
2004-01-29,0.2476174731196229,0.24903230846800992,0.1267249137288539,0.1262647524774943,0.04056433592657953,0.0355027158435355,0.12477971096223135,0.04951378947367252
2004-01-30,0.2475350070330543,0.2501702096535962,0.12646208086179717,0.1260609267062705,0.040413554394587436,0.035595362807257176,0.1243480293819962,0.04941482916144084
2004-02-02,0.24737801702522844,0.25038099023675964,0.1265635874063124,0.12631369970276166,0.04046111437795462,0.035602306724940636,0.1239313902956187,0.049368894230423815
2004-02-03,0.24763191297053289,0.25082229800109607,0.12653518271422873,0.1257841747334743,0.04035012274473774,0.03561536330730013,0.12416453598516938,0.04909640954346085
2004-02-04,0.24877283312354967,0.2521267964116839,0.12600970053852403,0.12564148355802618,0.03972995428040958,0.03535794973866765,0.12346536310125478,0.048895919247884216
2004-02-05,0.2484460304882858,0.25122797132985725,0.12643234382670324,0.125701909898497,0.03998075349171848,0.03544484625645804,0.12389836660129562,0.048867778107184574
2004-02-06,0.24644729290015935,0.24982017041185273,0.12684622122686023,0.12614456108997865,0.04059412473675009,0.03560711711417151,0.12503166995559875,0.04950884256462875
2004-02-09,0.24605560832691645,0.24985750551214597,0.12644409850124871,0.12580194775232487,0.04056836938841804,0.03560629248857965,0.1255601094721115,0.050106068558254745
2004-02-10,0.24525718131988555,0.24870186797276167,0.12698843515113664,0.12647714561407944,0.04105579076791687,0.035656974567304385,0.12588268505855618,0.04997991954835924
2004-02-11,0.24400222271162145,0.2480350299617624,0.12718501129910414,0.127186717097663,0.04096381386437604,0.03575852483345416,0.12645135721514675,0.05041732301687207
2004-02-12,0.24476825036986313,0.24803331230338052,0.1271952325008623,0.1270526977322298,0.04084497790767108,0.03588655637761604,0.12568812976688262,0.05053084304149458
2004-02-13,0.2450693240314856,0.24989138492363716,0.12651552571547,0.12644787011230832,0.04038128551165763,0.03565388966656584,0.12549237172420483,0.05054834831467061
2004-02-17,0.24343590194205839,0.24724055223634717,0.12710007930329628,0.1270645740084284,0.04083260321373399,0.03586659841040635,0.12719518225524684,0.05126450863048265
2004-02-18,0.24446481697523412,0.24828256727167156,0.1270518853073744,0.12695793337956085,0.04073073920575878,0.035789367346819104,0.12593421385648781,0.0507884766570934
2004-02-19,0.24495149002566677,0.24876788544476602,0.12654598680750745,0.12658076469516197,0.04017214127137926,0.03560773780261365,0.12695440465636892,0.050419589296536046
2004-02-20,0.2456919792079561,0.24910160940025397,0.1266796758513363,0.12664932540284454,0.040250816536786575,0.03565968422096045,0.12591185938553714,0.050055049994324925
2004-02-23,0.24612980543031493,0.2500660059052726,0.12593286567900872,0.12642978036151908,0.03992644777169939,0.035501155724857285,0.12637104935759924,0.04964288976972874
