,shy,tip,vti,ive,iwn,iws,efa,eem
2004-01-02,25000.0,25000.0,12500.0,12500.0,4000.0,3500.0000000000005,12500.0,5000.0
2006-12-28,6653.8959339192115,6165.547220459335,-660.4231447640523,-1601.823419828801,-943.3481470813567,-1218.4848853614976,-4537.283028762875,-3986.9191532470877
2008-10-07,-6848.453789995372,-7596.224640158984,2909.907768982699,3925.8208593819036,1142.4208268943835,1028.3704560852316,3900.4421669851763,1393.9882082413342
2009-03-06,-5460.0331371235625,-4051.336317050489,2093.094164796352,3042.114061009057,1139.2313620117325,916.1814526313938,2135.506263300136,90.60165834403233
2009-07-27,6968.712405737475,5809.97944821123,-2282.9018519990404,-2862.2281842813845,-1211.1463942849696,-1108.2435402053734,-3306.620802325142,-2135.980144711558
2013-01-23,10347.809049095791,710.8411658925543,-4807.487563792085,-3972.0977050345246,-1614.589028201348,-2072.718789497314,991.5470486851082,292.6471354237274
