Strategy,Capital Gains,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Number of Trades
Buy and Hold,66023.42,0.66,0.056,0.115,0.484,1.0
Rebalanced,81106.01,0.811,0.066,0.113,0.578,6.0
